               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.025192,            0.013214,           0.0050416,              0.7952,             0.88928,             0.87521,             0.63206,            0.014732,           0.0040913,           0.0030132,           0.0076735,           0.0076735,           0.0076735
                  49,            0.023837,            0.012706,            0.004945,              0.7531,             0.87568,             0.87797,             0.66477,            0.014233,           0.0040286,            0.003298,            0.007624,            0.007624,            0.007624
                  50,            0.022418,            0.012444,           0.0047802,             0.81987,             0.91984,             0.91898,             0.67949,            0.014864,           0.0039388,           0.0019286,           0.0075745,           0.0075745,           0.0075745
                  51,            0.022983,            0.013029,           0.0054405,             0.75967,             0.78529,             0.84143,             0.60119,            0.014809,           0.0041972,           0.0034691,            0.007525,            0.007525,            0.007525
                  52,            0.024214,             0.01311,            0.005295,             0.77546,             0.89789,             0.88583,              0.6586,            0.014356,           0.0040148,           0.0026039,           0.0074755,           0.0074755,           0.0074755
                  53,            0.022916,            0.012553,            0.004847,             0.73855,              0.9037,             0.86054,             0.64136,            0.013604,           0.0040375,           0.0019378,            0.007426,            0.007426,            0.007426
                  54,             0.02111,            0.012491,           0.0045924,             0.80746,             0.85309,             0.85571,             0.62483,            0.014358,           0.0041672,           0.0018726,           0.0073765,           0.0073765,           0.0073765
                  55,             0.02187,            0.012582,           0.0051006,             0.73798,             0.83397,             0.80832,             0.56832,            0.016185,           0.0043137,           0.0041427,            0.007327,            0.007327,            0.007327
                  56,            0.022693,            0.012486,           0.0050902,             0.77483,             0.91171,             0.89403,             0.66498,            0.014089,           0.0039095,           0.0023344,           0.0072775,           0.0072775,           0.0072775
                  57,            0.022563,            0.012696,            0.005816,             0.77521,             0.81369,             0.86812,             0.65089,            0.014047,           0.0042688,           0.0025443,            0.007228,            0.007228,            0.007228
                  58,            0.021738,            0.012807,           0.0045304,             0.82549,             0.83745,             0.86502,             0.63553,            0.015221,            0.004221,           0.0024202,           0.0071785,           0.0071785,           0.0071785
                  59,            0.022214,             0.01284,           0.0055024,             0.77155,             0.87449,             0.87892,             0.65963,            0.013684,           0.0040245,           0.0024805,            0.007129,            0.007129,            0.007129
                  60,            0.023475,            0.012558,           0.0056043,             0.82201,             0.89576,             0.87607,             0.64865,            0.015424,           0.0039327,           0.0020077,           0.0070795,           0.0070795,           0.0070795
                  61,            0.023229,            0.012413,           0.0063368,             0.78955,             0.89345,             0.88007,             0.65542,            0.013478,           0.0039354,           0.0025965,             0.00703,             0.00703,             0.00703
                  62,            0.023911,            0.012524,           0.0042535,             0.76527,             0.92715,             0.88434,             0.68212,            0.013068,           0.0038949,            0.002384,           0.0069805,           0.0069805,           0.0069805
                  63,            0.021438,            0.012202,           0.0033245,             0.83396,             0.89799,             0.91613,             0.68902,            0.014728,           0.0038066,           0.0019376,            0.006931,            0.006931,            0.006931
                  64,            0.022569,             0.01206,           0.0039167,             0.81962,             0.90684,             0.90638,              0.7083,            0.013546,            0.003737,           0.0025649,           0.0068815,           0.0068815,           0.0068815
                  65,            0.020886,            0.011908,           0.0039616,             0.82811,             0.91487,             0.92276,             0.68535,            0.013794,           0.0038579,           0.0022551,            0.006832,            0.006832,            0.006832
                  66,            0.020126,            0.012448,           0.0043769,             0.82467,             0.87972,             0.89598,             0.67568,            0.013479,           0.0038906,           0.0024547,           0.0067825,           0.0067825,           0.0067825
                  67,            0.021604,              0.0118,           0.0033555,              0.8405,             0.87888,             0.90923,             0.69573,            0.013071,           0.0039965,            0.002036,            0.006733,            0.006733,            0.006733
                  68,            0.021268,            0.012117,           0.0037974,             0.78642,             0.93223,             0.90744,              0.7002,             0.01332,           0.0037843,           0.0019201,           0.0066835,           0.0066835,           0.0066835
                  69,            0.021731,            0.011971,           0.0044153,             0.83312,             0.84295,             0.90269,             0.65659,            0.014542,           0.0038921,           0.0025166,            0.006634,            0.006634,            0.006634
                  70,             0.02195,            0.011998,           0.0034311,             0.77974,             0.92718,             0.90091,             0.67739,            0.013069,           0.0038028,           0.0022584,           0.0065845,           0.0065845,           0.0065845
                  71,            0.020893,            0.011696,           0.0036415,             0.84182,             0.88353,             0.91395,             0.70009,            0.013492,           0.0037671,           0.0021873,            0.006535,            0.006535,            0.006535
                  72,             0.01968,            0.011595,           0.0034871,             0.80904,              0.9021,             0.89647,             0.69289,             0.01331,           0.0038073,            0.001865,           0.0064855,           0.0064855,           0.0064855
                  73,            0.019575,            0.011655,           0.0038844,             0.85703,             0.81459,             0.90042,              0.6617,            0.014403,           0.0039057,           0.0026506,            0.006436,            0.006436,            0.006436
                  74,             0.02041,            0.012121,           0.0050988,             0.79961,             0.90233,             0.89494,             0.68365,            0.013779,           0.0038781,           0.0023201,           0.0063865,           0.0063865,           0.0063865
